Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,"This beautifully illustrated, full-color book explains the basic principles of Chinese medicine, the causes of disharmony in the body that lead to disease and the Chinese approach to diagnosis and treatment.",['Tom Williams'],http://books.google.com/books/content?id=XMMFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&cd=1&source=gbs_api,HarperThorsons,2003,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&source=gbs_api,['Health & Fitness'],1.0
Night World: Daughters Of Darkness,"""There’s something strange about the new girls in town. Briar Creek, Oregon, has never seen anything like the supernatural grace of Rowan, Kestrel, and Jade, three sisters who move into the dilapidated old house next to Mark and Mary-Lynnette Carter""--Publisher.",['L.J. Smith'],http://books.google.com/books/content?id=c9icDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=c9icDQAAQBAJ&printsec=frontcover&dq=Night+World:+Daughters+Of+Darkness&hl=&cd=1&source=gbs_api,Simon and Schuster,2016-12-06,http://books.google.nl/books?id=c9icDQAAQBAJ&dq=Night+World:+Daughters+Of+Darkness&hl=&source=gbs_api,['Juvenile Fiction'],11.0
America at 1750: A Social Portrait,"Demonstrates how the colonies developed into the first nation created under the influences of nationalism, modern capitalism and Protestantism.",['Richard Hofstadter'],http://books.google.com/books/content?id=uMVMAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=uMVMAAAAMAAJ&q=America+at+1750:+A+Social+Portrait&dq=America+at+1750:+A+Social+Portrait&hl=&cd=1&source=gbs_api,Vintage,1973,http://books.google.nl/books?id=uMVMAAAAMAAJ&dq=America+at+1750:+A+Social+Portrait&hl=&source=gbs_api,['History'],2.0
Perry Mason in the Case of Too Many Murders,"A Los Angeles businessman kills his dinner companion and is himself murdered minutes later, leaving his estranged wife, the prime suspect in the case, to contact Perry Mason for help",['Thomas Chastain'],http://books.google.com/books/content?id=oOdmGU8i_H8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=oOdmGU8i_H8C&q=Perry+Mason+in+the+Case+of+Too+Many+Murders&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&cd=1&source=gbs_api,Avon Books,1990-07,http://books.google.nl/books?id=oOdmGU8i_H8C&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&source=gbs_api,['Fiction'],2.0
How to Discipline Kids without Losing Their Love and Respect,"Imagine... No More Arguing. Imagine... No More Manipulation. Imagine... Stess Free Parenting. For over fifty years, Jim Fay has worked with schools, families, and children in the areas of teaching, parenting and discipline. In 1977, along with internationally renowned psychiatrist Dr. Foster W. Cline, he founded the Love and Logic Institute, Inc. which is dedicated to helping parents and educators create responsible kids. We know you will enjoy this book by beloved storyteller and parenting expert, Jim Fay, as he speaks to parents, educators, and community leaders about how to discipline kids without losing their love or respect.",['Jim Fay'],http://books.google.com/books/content?id=IWXqPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&cd=1&source=gbs_api,Love & Logic Press,2004-01-01,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&source=gbs_api,['Family & Relationships'],1.0
Bruce Lee: The Incomparable Fighter,"Get to know the true Bruce Lee through the eyes of his friend, M. Uyehara. Pound for pound, he may have been the greatest fighter who ever lived. Read about his good and bad times, his dreams and destiny shattered by his early death.",['M. Uyehara'],http://books.google.com/books/content?id=Z4qHatHRJlsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Z4qHatHRJlsC&printsec=frontcover&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&cd=1&source=gbs_api,Black Belt Communications,1988,http://books.google.nl/books?id=Z4qHatHRJlsC&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&source=gbs_api,['Biography & Autobiography'],2.0
"The Art of Technical Documentation, Second Edition","An essential text in the field of contemporary art history, it has now been updated to represent 30 countries and over 100 new artists. The internationalism evident in this revised edition reflects the growing interest in contemporary art throughout the world from the U.S. and Europe to the Middle East, Asia, Africa, Latin America, and Australia.","['Kristine Stiles', 'Peter Selz']",http://books.google.com/books/content?id=5qklDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=5qklDQAAQBAJ&pg=PA463&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&cd=1&source=gbs_api",Univ of California Press,2012-09-25,"http://books.google.nl/books?id=5qklDQAAQBAJ&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&source=gbs_api",['Art'],1.0
The Rabbi's Cat,"Gaining the ability to speak after swallowing a parakeet, the rabbi's cat uses his newfound talent to tell lies, the consequences of which lead to being banned from contact with the rabbi's daughter and an education in the Torah, despite his preference for the Kabbalah and his desire for a bar mitvah. Mature.",['Joann Sfar'],http://books.google.com/books/content?id=cNQbAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cNQbAQAAIAAJ&q=The+Rabbi%27s+Cat&dq=The+Rabbi%27s+Cat&hl=&cd=1&source=gbs_api,Pantheon,2005,http://books.google.nl/books?id=cNQbAQAAIAAJ&dq=The+Rabbi%27s+Cat&hl=&source=gbs_api,['Comics & Graphic Novels'],25.0
JFK: The Last Dissenting Witness,"Jean Hill, the ""lady in red"" in Zapruder's Kennedy assassination film, saw a gunman on the famous grassy knoll on November 22, 1963. That gunman was NOT Lee Harvey Oswald. In this highly personal narrative, Hill discloses the trauma and intimidation she experienced as well as her struggle to keep her career and her sanity after she, a single mother of two, became embroiled in the greatest murder mystery of the century.","['Sloan, Bill']",http://books.google.com/books/content?id=BPKo3kC3YtIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BPKo3kC3YtIC&printsec=frontcover&dq=JFK:+The+Last+Dissenting+Witness&hl=&cd=1&source=gbs_api,Pelican Publishing,2010-09-23,https://play.google.com/store/books/details?id=BPKo3kC3YtIC&source=gbs_api,['History'],1.0
From Potter's Field,"The sixth book in the Kay Scarpetta series, from No. 1 bestselling author Patricia Cornwell. 'America's most chilling writer of crime fiction' The Times Christmas had never been a particularly good time for Dr Kay Scarpetta. Although a holiday for most, it always seem to heighten the alienation felt by society's violent fringe; and that usually means more work for Scarpetta, Virginia's Chief Medical Examiner. The body was naked, female and found propped against a fountain in a bleak area of New York's Central Park. Her apparent manner of death points to a modus operandi that is chillingly familiar: the gunshot wound to the head, the sections of skin excised from the body, the displayed corpse - all suggest that Temple Brooks Gault, Scarpetta's nemesis, is back at work. Calling on all her reserves of courage and skill, and the able assistance of colleagues Marino and Wesley, Scarpetta must track this most dangerous of killers in pursuit of survival as well as justice - heading inexorably to an electrifying climax amid the dark, menacing labyrinths of the New York subway. Praise for the groundbreaking series: 'One of the best crime writers writing today' Guardian 'Devilishly clever' Sunday Times 'The top gun in this field' Daily Telegraph 'Forget the pretenders. Cornwell reigns' Mirror 'The Agatha Christie of the DNA age' Express",['Patricia Cornwell'],http://books.google.com/books/content?id=prefgSxnGOwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=prefgSxnGOwC&printsec=frontcover&dq=From+Potter%27s+Field&hl=&cd=1&source=gbs_api,Hachette UK,2008-09-04,https://play.google.com/store/books/details?id=prefgSxnGOwC&source=gbs_api,['Fiction'],19.0
Lost Cities of Africa and Arabia (The Lost City Series),"Join Childress as he discovers forbidden cities in the Empty Quarter of Arabia, 'Atlantean' ruins in Egypt and the Kalahari desert; a mysterious, ancient empire in the Sahara; and more. This is an extraordinary life on the road: across war torn countries Childress searches for King Solomon's Mines, living dinosaurs, the Ark of the Covenant and the solutions to the fantastic mysteries of the past.",['David Hatcher Childress'],http://books.google.com/books/content?id=prq6ykijSyQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=prq6ykijSyQC&printsec=frontcover&dq=Lost+Cities+of+Africa+and+Arabia+(The+Lost+City+Series)&hl=&cd=1&source=gbs_api,Adventures Unlimited Press,1989,http://books.google.nl/books?id=prq6ykijSyQC&dq=Lost+Cities+of+Africa+and+Arabia+(The+Lost+City+Series)&hl=&source=gbs_api,"['Body, Mind & Spirit']",2.0
Economics in one lesson,"With over a million copies sold, Economics in One Lesson is an essential guide to the basics of economic theory. A fundamental influence on modern libertarianism, Hazlitt defends capitalism and the free market from economic myths that persist to this day. Considered among the leading economic thinkers of the “Austrian School,” which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of The Freeman magazine, an influential libertarian publication. Hazlitt wrote Economics in One Lesson, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy. Economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of Economics in One Lesson. Hazlitt’s focus on non-governmental solutions, strong — and strongly reasoned — anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make Economics in One Lesson every bit as relevant and valuable today as it has been since publication.",['Henry Hazlitt'],http://books.google.com/books/content?id=A50iBxwt7qMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=A50iBxwt7qMC&printsec=frontcover&dq=Economics+in+one+lesson&hl=&cd=1&source=gbs_api,Currency,2010-08-11,https://play.google.com/store/books/details?id=A50iBxwt7qMC&source=gbs_api,['Business & Economics'],18.0
Chocolate: The Sweet History,"Complete with recipes, a guide provides an informative review of the history of chocolate by explaining where it originated, how it was originally used and by whom, how it is grown and processed, how it came to be made into tasty treats in modern times, and more. Simultaneous.",['Sandra Markle'],http://books.google.com/books/content?id=k3dtSRXAWkUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=k3dtSRXAWkUC&q=Chocolate:+The+Sweet+History&dq=Chocolate:+The+Sweet+History&hl=&cd=1&source=gbs_api,Smart about History,2005,http://books.google.nl/books?id=k3dtSRXAWkUC&dq=Chocolate:+The+Sweet+History&hl=&source=gbs_api,['Juvenile Nonfiction'],2.0
The Web That Has No Weaver: Understanding Chinese Medicine,"A Doody’s Core Title for 2021! The Web That Has No Weaver is the classic, comprehensive guide to the theory and practice of Chinese alternative medicine. This accessible and invaluable resource has earned its place as the foremost authority in synthesizing Western and Eastern healing practices. This revised edition is the product of years of further reflection on ancient Chinese sources and active involvement in cutting-edge scientific research.",['Ted J. Kaptchuk'],http://books.google.com/books/content?id=nZH7_9jULnYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=nZH7_9jULnYC&q=The+Web+That+Has+No+Weaver:+Understanding+Chinese+Medicine&dq=The+Web+That+Has+No+Weaver:+Understanding+Chinese+Medicine&hl=&cd=1&source=gbs_api,McGraw-Hill Education,2000,http://books.google.nl/books?id=nZH7_9jULnYC&dq=The+Web+That+Has+No+Weaver:+Understanding+Chinese+Medicine&hl=&source=gbs_api,['Health & Fitness'],1.0
A Titanic Journey Across the Sea 1912 (American Sisters),"When sisters Erna and Alfreda Anderson set sail for America to join their father in Chicago, they have no idea what the fate of the luxury liner Titanic will be. Reprint.",['Laurie Lawlor'],http://books.google.com/books/content?id=k7VPWX83HRsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=k7VPWX83HRsC&printsec=frontcover&dq=A+Titanic+Journey+Across+the+Sea+1912+(American+Sisters)&hl=&cd=1&source=gbs_api,Simon and Schuster,2000-11-01,http://books.google.nl/books?id=k7VPWX83HRsC&dq=A+Titanic+Journey+Across+the+Sea+1912+(American+Sisters)&hl=&source=gbs_api,['Juvenile Nonfiction'],2.0
The ABAP Quick Reference,"Describes all ABAP commands, up to and including release 7.0, in alphabetical order, as well as Dynpro flow logic statements and simple transformation (ST) commands.",['Horst Keller'],http://books.google.com/books/content?id=aVa-PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=aVa-PAAACAAJ&dq=The+ABAP+Quick+Reference&hl=&cd=1&source=gbs_api,SAP PRESS,2005,http://books.google.nl/books?id=aVa-PAAACAAJ&dq=The+ABAP+Quick+Reference&hl=&source=gbs_api,['ABAP/4 (Computer program language)'],1.0
Tales from silver lands,"Atmospheric woodcuts illustrate this Newbery Award-winning collection of 19 South American folktales. Fables of talking animals, witches, giants, and ordinary people in supernatural settings provide insights into regional values and culture.",['Charles J. Finger'],http://books.google.com/books/content?id=TM02DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=TM02DwAAQBAJ&printsec=frontcover&dq=Tales+from+silver+lands&hl=&cd=1&source=gbs_api,Courier Dover Publications,2017-09-20,https://play.google.com/store/books/details?id=TM02DwAAQBAJ&source=gbs_api,['Juvenile Fiction'],2.0
Edge of Danger,The action-packed new Sean Dillon novel. Master thriller writer Jack Higgins plunges his hugely popular hero into his ninth adventure – racing against time to prevent an assassination that would shock the world.,['Jack Higgins'],http://books.google.com/books/content?id=OgwoCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=OgwoCgAAQBAJ&printsec=frontcover&dq=Edge+of+Danger&hl=&cd=1&source=gbs_api,HarperCollins UK,2015-08-27,https://play.google.com/store/books/details?id=OgwoCgAAQBAJ&source=gbs_api,['Fiction'],2.0
"albert einstein, young thinker [ Childhood of Famous Americans series]",Presents the early life of the German-born physicist whose theory of relativity revolutionized scientific thinking.,['Marie Hammontree'],http://books.google.com/books/content?id=tr7qTAGjuqIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=tr7qTAGjuqIC&printsec=frontcover&dq=albert+einstein,+young+thinker+%5B+Childhood+of+Famous+Americans+series%5D&hl=&cd=1&source=gbs_api",Simon and Schuster,1986-10-31,"http://books.google.nl/books?id=tr7qTAGjuqIC&dq=albert+einstein,+young+thinker+%5B+Childhood+of+Famous+Americans+series%5D&hl=&source=gbs_api",['Juvenile Fiction'],1.0
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),"Readers will take pleasure in discovering the classics through these beautifully packaged and affordably priced editions of famous works of literature from all over the world. A variety of periods, themes, and authors is represented.",['José Hernández'],http://books.google.com/books/content?id=-JkYG3eYlREC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=-JkYG3eYlREC&pg=PR3&dq=El+Gaucho+Martin+Fierro/the+Gaucho+Martin+Fierro+(Bilingual+Edition)+(Spanish+Edition)&hl=&cd=1&source=gbs_api,SUNY Press,1967-01-01,http://books.google.nl/books?id=-JkYG3eYlREC&dq=El+Gaucho+Martin+Fierro/the+Gaucho+Martin+Fierro+(Bilingual+Edition)+(Spanish+Edition)&hl=&source=gbs_api,['Poetry'],3.0
Dead Sexy,"In The Still Of The Night The city is in a panic. In the still of the night, a vicious killer is leaving a trail of mutilated bodies drained of blood. A chilling M.O. that puts ex-vampire hunter Regan Delaney on the case, her gun clip packed with silver bullets, her instincts edgy. But the victims are both human and Undead, and the clues are as confusing as the vampire who may be her best ally--she hopes. . . Master of the City, Joaquin Santiago radiates supernatural power like heat from a blast furnace, but he's never met a creature like Regan Delaney. She intrigues him, fires his hunger, and unleashes his desire, but before he can enter her world, or she his, they must confront a vicious, elusive killer who is an enemy even to his own. . . ""Sexy, fast-paced, gritty, this is Amanda Ashley at her best! A must read!"" --Ronda Thompson",['Amanda Ashley'],http://books.google.com/books/content?id=AiRjAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=AiRjAwAAQBAJ&pg=PP1&dq=Dead+Sexy&hl=&cd=1&source=gbs_api,Zebra Books                   ,2013-10-07,https://play.google.com/store/books/details?id=AiRjAwAAQBAJ&source=gbs_api,['Fiction'],4.0
Goliath,"The award-winning journalist and best-selling author of Republican Gomorrah assesses the takeover of Israel by extremists from the Jewish Right, examining how they have restricted constitutional protections for minorities and dissidents and how they are being bankrolled by American right-wing interests. (This book was previously featured in Forecast.)",['Max Blumenthal'],http://books.google.com/books/content?id=MT0eBQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=MT0eBQAAQBAJ&dq=Goliath&hl=&cd=1&source=gbs_api,Nation Books,2013-10-01,http://books.google.nl/books?id=MT0eBQAAQBAJ&dq=Goliath&hl=&source=gbs_api,['History'],3.0
Inside Oscar: the Unofficial History of the Academy Awards,"FINALLY, A SEQUEL AS GOOD AS THE ORIGINAL! Enlivened by humorous incidents, brewing controversies, and deeply moving personal dramas, Inside Oscar 1995-2000 offers the complete lowdown on six more years of Academy Awards glory . . . from Braveheart in 1995 through Gladiator in 2000, with the Titanic phenomenon and the Saving Private Ryan/Shakespeare in Love feud in between. There is also complete coverage of the awards ceremonies?with delicious anecdotes on the presenters and performers, the producers and egos, the fashion stars and fashion victims. And, of course, a complete list of all the nominees and winners, as well as a list of notable non-nominees. Picking up where the classic Inside Oscar leaves off, this must-have guide treats us to a behind-the-scenes look at one of America?s most beloved annual traditions!",['Damien Bona'],http://books.google.com/books/content?id=7H9ZUgHROt8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=7H9ZUgHROt8C&printsec=frontcover&dq=Inside+Oscar:+the+Unofficial+History+of+the+Academy+Awards&hl=&cd=1&source=gbs_api,Ballantine Books,2002-02-06,https://play.google.com/store/books/details?id=7H9ZUgHROt8C&source=gbs_api,['Performing Arts'],3.0
Itten The Elements of Color,"Includes color circles, spheres, and scales as well as suggested exercises.",['Johannes Itten'],http://books.google.com/books/content?id=ofvRhNBgoCoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=ofvRhNBgoCoC&printsec=frontcover&dq=Itten+The+Elements+of+Color&hl=&cd=1&source=gbs_api,John Wiley & Sons,1970,http://books.google.nl/books?id=ofvRhNBgoCoC&dq=Itten+The+Elements+of+Color&hl=&source=gbs_api,['Architecture'],1.0
